1,2018-08-09,2018092,06,10,16,19,24,33,16,318819890,1,10000000,95,269198,882,3000,921043817
2,2018-08-07,2018091,06,11,13,17,25,32,07,315853082,4,8999907,81,246907,1107,3000,854322188
3,2018-08-05,2018090,01,02,04,10,14,23,07,340370390,12,5776285,85,136991,1895,3000,830323212
4,2018-08-02,2018089,06,09,12,14,18,27,14,312432712,5,9128194,172,150007,875,3000,864705795
5,2018-07-31,2018088,03,05,12,29,30,32,14,315199378,8,7319478,69,336156,880,3000,832943120
6,2018-07-29,2018087,01,05,10,16,18,31,03,348603358,3,10000000,74,382259,869,3000,821914596
7,2018-07-26,2018086,02,07,17,21,23,26,16,322631262,18,5839185,109,173226,1524,3000,767052918
8,2018-07-24,2018085,04,10,25,26,30,33,06,322576362,8,6541028,88,175116,1323,3000,815513264
9,2018-07-22,2018084,05,06,08,12,22,24,03,347865554,13,6216121,249,79365,3816,3000,821610647
10,2018-07-19,2018083,04,09,18,21,32,33,03,323565026,11,6964663,126,214397,650,3000,843134325
11,2018-07-17,2018082,06,12,14,20,22,24,09,319081284,8,6895145,140,135367,1364,3000,838703256
12,2018-07-15,2018081,01,02,12,16,20,26,03,349698540,5,9113851,154,166958,1488,3000,837010055
13,2018-07-12,2018080,04,07,13,20,29,33,03,325310442,6,8230212,128,189270,1015,3000,805444602
14,2018-07-10,2018079,14,15,17,22,24,29,13,327442428,2,10000000,77,347163,733,3000,782146094
15,2018-07-08,2018078,03,10,14,17,18,30,12,358569878,6,7550329,204,93762,1704,3000,721951374
16,2018-07-05,2018077,02,05,09,15,20,24,10,327832004,7,7421960,109,194423,1536,3000,709870938
17,2018-07-03,2018076,03,07,08,15,29,30,13,327873252,22,5565528,363,42843,3328,3000,698248210
18,2018-07-01,2018075,07,09,12,13,22,24,11,356378720,17,5972248,120,172168,1906,3000,774033783
19,2018-06-28,2018074,09,11,14,20,27,30,09,327800026,9,6057912,120,99179,2196,3000,813581190
20,2018-06-26,2018073,02,09,14,15,16,23,10,329645754,8,7236302,104,215029,1414,3000,832397856
21,2018-06-24,2018072,11,16,19,22,25,30,08,372281494,19,5128649,101,30251,2422,3000,823199206
22,2018-06-21,2018071,02,05,06,13,16,19,03,348880396,9,6963036,110,200765,1326,3000,911477268
23,2018-06-19,2018070,04,09,15,16,19,27,10,339461364,13,6439454,138,169500,1671,3000,907892115
24,2018-06-17,2018069,06,13,17,19,23,31,12,355213336,5,8350663,126,166203,2076,3000,921431615
25,2018-06-14,2018068,08,10,17,20,27,30,01,332649368,3,10000000,225,106134,1301,3000,900360000
26,2018-06-12,2018067,01,04,09,12,15,18,05,324647042,8,7355099,122,193040,940,3000,858719248
27,2018-06-10,2018066,09,16,17,19,22,26,10,357968382,10,6805079,195,115710,1596,3000,846907070
28,2018-06-07,2018065,01,04,06,14,28,33,01,329937636,6,8384489,123,206371,1178,3000,847267386
29,2018-06-05,2018064,02,05,10,11,17,21,05,329557586,12,6202837,149,121091,1887,3000,821423304
30,2018-06-03,2018063,05,06,10,16,20,25,12,358387608,27,5291294,315,31210,4323,3000,841729671
31,2018-05-31,2018062,02,18,19,24,25,33,11,326938646,6,8244701,109,223259,915,3000,955101072
32,2018-05-29,2018061,09,10,11,12,18,23,07,332550974,15,5915270,213,80569,2086,3000,931563495
33,2018-05-27,2018060,04,08,13,25,30,31,10,364451892,5,8071749,111,172958,1705,3000,968808575
34,2018-05-24,2018059,04,06,08,13,22,32,11,335528070,5,7926005,69,265036,1340,3000,951572015
35,2018-05-22,2018058,07,12,13,16,26,31,07,328678478,11,6534486,120,175826,1255,3000,936339437
36,2018-05-20,2018057,05,15,17,19,20,30,13,360079018,9,7219690,193,129386,1586,3000,944921232
37,2018-05-17,2018056,01,03,06,20,21,26,01,332042280,7,7536477,187,118685,1366,3000,934983896
38,2018-05-15,2018055,07,09,10,12,22,26,07,328077816,39,5382270,131,142257,1949,3000,921156717
39,2018-05-13,2018054,04,06,18,22,25,33,16,364343470,4,10000000,86,305357,970,3000,1075158284
40,2018-05-10,2018053,01,04,10,11,14,27,06,336743448,8,7086603,104,200634,1253,3000,1036375992
41,2018-05-08,2018052,03,05,06,09,15,32,14,335132016,4,9373437,104,210261,1307,3000,1030470724
42,2018-05-06,2018051,05,07,20,23,27,31,04,362286900,5,9213527,146,180373,1160,3000,1002362910
43,2018-05-03,2018050,01,02,04,10,18,19,07,332612986,7,7360984,146,141497,1637,3000,969426906
44,2018-05-01,2018049,01,03,04,11,19,23,02,308606382,7,7858532,88,284229,826,3000,958977957
45,2018-04-29,2018048,01,12,20,25,30,31,02,347082070,4,9801124,76,315863,1175,3000,938951220
46,2018-04-26,2018047,06,07,12,16,22,25,07,340211348,9,6936514,102,213586,1430,3000,906138855
47,2018-04-24,2018046,10,13,14,18,20,31,03,341414200,2,10000000,100,256483,997,3000,903210136
48,2018-04-22,2018045,03,04,06,25,26,30,01,381384846,3,6904812,82,87110,2641,3000,846265053
49,2018-04-19,2018044,05,09,12,17,27,30,06,351490126,22,5550276,643,23534,3367,3000,845550354
50,2018-04-17,2018043,01,04,06,08,21,24,07,350595736,6,7386066,93,192424,1309,3000,922258638
51,2018-04-15,2018042,06,10,21,28,29,31,12,373384922,14,6113405,163,119537,2160,3000,912888550
52,2018-04-12,2018041,07,08,20,23,24,32,13,342614774,4,9960334,64,387526,792,3000,940022436
53,2018-04-10,2018040,01,03,08,13,18,23,16,341719534,11,6625737,283,78989,1676,3000,905458752
54,2018-04-08,2018039,08,12,18,19,23,32,03,368394896,6,8202095,168,142950,1616,3000,911280204
55,2018-04-05,2018038,15,23,24,25,28,29,09,303245456,5,7607731,75,217310,1074,3000,888445635
56,2018-04-03,2018037,01,06,07,08,27,30,10,336334062,12,6218823,137,133447,1564,3000,877589328
57,2018-04-01,2018036,08,17,24,26,28,33,04,375931002,4,10000000,117,231790,1164,3000,897368156
58,2018-03-29,2018035,07,10,11,17,23,28,15,350309396,6,8809507,289,98862,960,3000,856009608
59,2018-03-27,2018034,01,05,11,22,23,26,15,348544506,8,7560160,122,209849,972,3000,823152736
60,2018-03-25,2018033,04,19,20,22,28,33,06,376360408,3,10000000,88,289516,1047,3000,806829198
61,2018-03-22,2018032,21,22,23,24,25,32,06,351194914,3,10000000,127,179511,1392,3000,760396749
62,2018-03-20,2018031,02,16,18,19,27,30,14,345048756,3,10000000,116,224837,1092,3000,722002755
63,2018-03-18,2018030,13,14,20,21,25,33,07,388492136,1,10000000,98,260810,1097,3000,673759355
64,2018-03-15,2018029,01,02,09,14,22,25,05,349939456,5,8926329,85,288700,941,3000,607081200
65,2018-03-13,2018028,03,08,11,14,18,23,16,352015830,7,7676997,220,106471,1869,3000,578094167
66,2018-03-11,2018027,02,07,09,14,18,28,05,386579026,6,8250400,144,169291,1652,3000,561561972
67,2018-03-08,2018026,04,07,12,14,26,32,04,341958742,6,8313468,75,331346,1092,3000,537930372
68,2018-03-06,2018025,04,13,16,19,21,25,14,341614936,1,10000000,83,350024,700,3000,513258146
69,2018-03-04,2018024,11,19,22,26,31,32,02,373443496,9,7481039,81,344588,924,3000,436102047
70,2018-03-01,2018023,12,15,16,21,26,29,16,339395846,3,10000000,159,164899,906,3000,419696331
71,2018-02-27,2018022,07,14,19,21,22,23,03,333617132,6,8201615,111,216325,988,3000,371039376
72,2018-02-25,2018021,03,04,06,11,23,28,14,364661036,3,10000000,216,116432,1175,3000,348212718
73,2018-02-22,2018020,06,09,10,14,28,30,05,322991340,33,5489962,212,95334,1594,3000,302764704
74,2018-02-13,2018019,03,11,12,16,21,23,09,353382992,8,6663708,80,207963,1677,3000,423300648
75,2018-02-11,2018018,02,12,13,18,25,27,07,364855490,12,6383135,214,96948,2261,3000,426699072
76,2018-02-08,2018017,03,06,11,26,30,32,12,341808336,5,8695830,68,339690,1084,3000,441055600
77,2018-02-06,2018016,01,11,12,18,25,27,16,338462386,4,9593701,98,234372,1261,3000,415237924
78,2018-02-04,2018015,11,15,20,21,26,33,15,372995620,6,7652271,172,115651,2163,3000,384707208
79,2018-02-01,2018014,09,12,20,24,28,31,07,341965074,17,5970693,103,200264,1365,3000,370944726
80,2018-01-30,2018013,06,08,13,15,22,33,06,338322260,9,7002470,99,227553,1177,3000,410564826
81,2018-01-28,2018012,11,12,13,19,26,28,12,367108128,8,7195022,129,170156,1934,3000,406003688
82,2018-01-25,2018011,03,10,21,23,27,33,11,336871794,8,7356371,138,170751,1226,3000,397713208
83,2018-01-23,2018010,01,08,17,20,21,22,03,351327690,6,8085375,71,325919,1077,3000,385873044
84,2018-01-21,2018009,05,10,17,23,26,32,07,384256808,17,5477449,221,45908,2633,3000,364964347
85,2018-01-18,2018008,05,09,10,12,17,19,13,359785672,11,6571365,144,150043,1428,3000,427643568
86,2018-01-16,2018007,13,14,20,25,27,31,12,354279554,8,7274011,132,172273,1559,3000,435109760
